"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
36,"NCT04349540","Role of Immune and Inflammatory Response in Recipients of Allogeneic Haematopoietic Stem Cell Transplantation (SCT) Affected by Severe COVID19","(COVID19_BMT)","Active, not recruiting","No Results Available","COVID19","Other: no intervention","Comparison of inflammatory/immunological biomarkers <72 hours after development of oxygen requirement|Overall survival at 30 and 100 days after development of oxygen requirement|Comparison of 30 and 100 day survival in SCT patients who are vs are not ongoing immunosuppression|Proportion of patients requiring mechanical ventilation|Incidence of secondary HLH (as defined by HS score)","Great Ormond Street Hospital for Children NHS Foundation Trust","All","3 Months and older   (Child, Adult, Older Adult)",,"40","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","20BO08","April 15, 2020","October 15, 2020","January 15, 2021","April 16, 2020",,"April 16, 2020","Great Ormond Street Hospital NHS Foundation Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04349540"
37,"NCT04393402","Lung Ultrasound Score in Covid 19 Infectious Disease in Critical Care (LUS-COVID19)","LUS-COVID19","Recruiting","No Results Available","COVID","Procedure: lung ultrasound (LUS)","LUS applicability with COVID 19|Radiographic correlation (chest Xray and tomodensitometry)|LUS Mortality prediction|Prediction of Prone position response","Centre Hospitalier Universitaire de Nice","All","18 Years to 95 Years   (Adult, Older Adult)",,"14","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20reamedcovid03","March 20, 2020","December 31, 2020","December 31, 2020","May 19, 2020",,"May 19, 2020","CHU de Nice, Nice, France",,"https://ClinicalTrials.gov/show/NCT04393402"
38,"NCT04338906","Combination Therapy With Camostat Mesilate + Hydroxychloroquine for COVID-19","CLOCC","Not yet recruiting","No Results Available","COVID","Drug: Camostat Mesilate|Drug: Placebo|Drug: Hydroxychloroquine","Not hospitalized|Time to improvement of 2 categories from admission on a 7-point ordinal scale|Proportion of participants in each group with normalization of fever|Proportion of participants in each group with oxygen saturation > 94% on room air for >24h|Time to fever normalization (if febrile at baseline)|Time to first negative SARS-CoV-2 PCR in NP swap (if pos. at baseline)|Time to first negative SARS-CoV-2 PCR in lower respiratory tract specimens (sputum, bronchoalveolar lavage, tracheal aspirate) (if positive at baseline)|Duration of oxygen therapy|Proportion of participants in each group with need for mechanical ventilation|Duration of hospitalization|All cause mortality","Heinrich-Heine University, Duesseldorf|Universitätsklinikum Hamburg-Eppendorf|University Hospital, Frankfurt|St. Georg Hospital Leipzig, Germany|Hospital Schwabing Munich, Germany|Missioklinik, Wuerzburg, Germany","All","18 Years and older   (Adult, Older Adult)","Phase 4","334","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CLOCC-2020","June 1, 2020","June 1, 2021","December 31, 2021","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04338906"
39,"NCT04359329","Estrogen Patch for COVID-19 Symptoms",,"Recruiting","No Results Available","COVID","Drug: Estradiol patch","Rate of Hospitalization|Rate of Transfer to Intensive Care Unit|Rate of Intubation|Rate of Death","Sharon Nachman|Stony Brook University","All","18 Years and older   (Adult, Older Adult)","Phase 2","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SBU-EstrogenPatch-COVID19","April 20, 2020","November 15, 2020","November 15, 2020","April 24, 2020",,"April 24, 2020","Stony Brook University Hospital, Stony Brook, New York, United States",,"https://ClinicalTrials.gov/show/NCT04359329"
40,"NCT04383626","Fear Among Dentists During COVID-19 Pandemic",,"Completed","No Results Available","COVID",,"fear among dentist during COVID 19 epidemic|practice modification among dentist during COVID 19 epidemic","Cairo University","All","20 Years and older   (Adult, Older Adult)",,"216","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","COVID-19 pandemic","March 2, 2020","April 5, 2020","May 5, 2020","May 12, 2020",,"May 12, 2020","Cairo University, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04383626"
41,"NCT04447469","Study of Mavrilimumab (KPL-301) in Participants Hospitalized With Severe Corona Virus Disease 2019 (COVID-19) Pneumonia and Hyper-inflammation",,"Not yet recruiting","No Results Available","COVID","Drug: mavrilimumab|Other: Placebo","Cohort 1: Proportion of Participants Alive and Without Respiratory Failure at Day 15|Cohort 2: Mortality Rate at Day 15|Cohort 1: Time to Return to Room Air by Day 15|Cohort 1: Time to 2-point Clinical Improvement by Day 15|Cohort 1: Mortality Rate at Day 29|Cohort 1: Time to 1-Point Clinical Improvement by Day 15|Cohort 2: Mortality Rate at Day 29|Cohort 2: Proportion of Participants Alive and Without Respiratory Failure at Day 15|Cohorts 1 and 2: Proportion of Participants Alive and Without Respiratory Failure At Day 29|Cohorts 1 and 2: Time to Return to Room Air by Day 29|Cohort 2: Time to 2-point Clinical Improvement by Day 15|Cohorts 1 and 2: Time to 1-point Clinical Improvement by Day 29|Cohorts 1 and 2: Time to 2-point Clinical Improvement by Day 29|Cohort 1: Respiratory Failure-Free Survival by Day 15|Cohort 1: Respiratory Failure-Free Survival by Day 29|Cohort 1: Proportion of Participants Who Return to Room Air by Day 15|Cohorts 1 and 2: Proportion of Participants Who Return to Room Air by Day 29|Cohort 1: Mortality Rate at Day 15|Cohorts 1 and 2: Overall Survival by Day 29|Cohorts 1 and 2: Clinical Status Over Time|Cohorts 1 and 2: Number of Days Alive and Out of Hospital Through Day 90","Kiniksa Pharmaceuticals, Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","573","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","KPL-301-C203","June 2020","February 2021","April 2021","June 25, 2020",,"June 25, 2020","Tulane Medical Center, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04447469"
42,"NCT04383548","Clinical Study for Efficacy of Anti-Corona VS2 Immunoglobulins Prepared From COVID19 Convalescent Plasma Prepared by VIPS Mini-Pool IVIG Medical Devices in Prevention of SARS-CoV-2 Infection in High Risk Groups as Well as Treatment of Early Cases of COVID19 Patients",,"Not yet recruiting","No Results Available","COVID19","Other: hyper immunoglobulins containing anti-Corona VS2 immunoglobulin","Efficacy of COVID19 hyper immunoglobulins for patients|Efficacy of COVID19 hyper immunoglobulins for high risk groups|Safety of anti-SARS-CoV-2 hyper immunoglobulins assessed by percentage of adverse events","Assiut University","All","21 Years to 50 Years   (Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Mini-pooled IVIG in COVID19","June 1, 2020","December 1, 2020","January 1, 2021","May 12, 2020",,"May 12, 2020",,,"https://ClinicalTrials.gov/show/NCT04383548"
43,"NCT04407390","Effects of Nicotinamide Riboside on the Clinical Outcome of Covid-19 in the Elderly","NR-COVID19","Recruiting","No Results Available","COVID","Dietary Supplement: Nicotinamide riboside|Dietary Supplement: Placebo","Hypoxic respiratory failure|Mortality|Sepsis|Circulatory failure|Days in hospital|NAD levels","University of Copenhagen|Bispebjerg Hospital|Elysium Health","All","70 Years and older   (Older Adult)","Phase 2","100","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","H-20026601","June 1, 2020","May 1, 2021","May 1, 2022","May 29, 2020",,"June 2, 2020","Bispebjerg Hospital, Copenhagen NV, Denmark",,"https://ClinicalTrials.gov/show/NCT04407390"
44,"NCT04411446","Cholecalciferol to Improve the Outcomes of COVID-19 Patients","CARED","Not yet recruiting","No Results Available","COVID","Drug: Vitamin D|Drug: Placebo","Respiratory SOFA.|Need of a high dose of oxygen or mechanical ventilation.|Change in oxygen saturation.|Oxygen desaturation.|Change in Quick SOFA score.|Myocardial infarction.|Stroke.|Acute kidney injury.|Pulmonary thromboembolism.|Combined endpoint (stroke, myocardial infarction, acute kidney injury and pulmonary thromboembolism.|Admission to ICU.|Invasive Mechanical Ventilation.|Hospital Length of Stay.|ICU length of stay.|Death","Vitamin D Study Group|Ag Nac Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación","All","18 Years and older   (Adult, Older Adult)","Phase 4","1265","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","001","June 15, 2020","December 15, 2020","December 28, 2020","June 2, 2020",,"June 4, 2020","Hospital de Alta Complejidad en Red El Cruce, Florencio Varela, Buenos Aires, Argentina",,"https://ClinicalTrials.gov/show/NCT04411446"
45,"NCT04435795","Inhaled Ciclesonide for Outpatients With COVID19",,"Not yet recruiting","No Results Available","COVID 19","Drug: Ciclesonide","Improvement in dyspnea at day 7|Hospitalization at day 14|Oxygen Use|Mortality|Clinical status|Anxiety|Sleep Disturbance|Exercise capacity","McGill University Health Centre/Research Institute of the McGill University Health Centre","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","454","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2021-6696","June 25, 2020","February 25, 2021","March 25, 2021","June 17, 2020",,"June 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04435795"
46,"NCT04428073","Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection",,"Not yet recruiting","No Results Available","COVID","Biological: Covax-19™","To evaluate the safety of a therapeutic Covid-19 vaccine in participants by measuring the severity of local and systemic adverse events and laboratory abnormalities.|To evaluate the immunogenicity of a therapeutic Covid-19 vaccine in participants by measuring CD8+ T cells immune response|Virologic response after vaccination|Clinical outcome and progression after vaccinations","GeneCure Biotechnologies","All","18 Years to 60 Years   (Adult)","Phase 1","32","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GC004","July 2020","July 2021","December 2021","June 11, 2020",,"June 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04428073"
47,"NCT04444687","COVID 19: Is SARS-CoV-2 Contaminating Surgical Aerosols From Laparoscopy and Open Abdominal Surgery?","LapCoVIDSurg","Not yet recruiting","No Results Available","COVID","Diagnostic Test: Test for SARS-CoV-2","SARS-COV-2 RNA detection|Viral contamination of peritoneal cavity and fluid|Viral contamination of peritoneal cavity and fluid in open cases|Viral infection of members of the surgical team","University Hospital, Basel, Switzerland","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","052020","August 2020","December 2020","February 2021","June 23, 2020",,"June 23, 2020",,,"https://ClinicalTrials.gov/show/NCT04444687"
48,"NCT04403828","Impact of COVID-19 on Personal Protection Among Dentist in Egypt",,"Active, not recruiting","No Results Available","COVID 19","Other: Survey","Personal protection measures|impact of Covid-19 pandemic on type of face masks used in dental clinic","Fayoum University","All","18 Years to 75 Years   (Adult, Older Adult)",,"323","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","PPE in COVID-19","May 20, 2020","June 1, 2020","June 15, 2020","May 27, 2020",,"June 9, 2020","Faculty of Dentistry, Fayoum, Egypt",,"https://ClinicalTrials.gov/show/NCT04403828"
49,"NCT04414657","USZ BioResource COVID",,"Recruiting","No Results Available","COVID19","Other: blood sampling for biobank","blood sampling for biobank","Regina Grossmann|University of Zurich","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CTC HFV2","April 9, 2020","April 30, 2022","April 30, 2022","June 4, 2020",,"June 4, 2020","University Hospital Zurich, Clinical Trials Center, Zurich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04414657"
50,"NCT04397796","Study of the Safety of Therapeutic Tx With Immunomodulatory MSC in Adults With COVID-19 Infection Requiring Mechanical Ventilation",,"Not yet recruiting","No Results Available","COVID","Biological: BM-Allo.MSC|Biological: Placebo","Incidence of AEs|Mortality|Death|Number of ventilator-free days|Improvement of one category|7-point ordinal scale|NEWS|NEWS of ≤ 2|Sequential Organ Failure Assessment (SOFA)|Oxygen|Hospitalization|Incidence of SAEs","NantKwest, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","45","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","QUILT-COVID-19-MSC","June 2020","June 2021","June 2021","May 21, 2020",,"June 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04397796"
